index,database,replication_factor,recordcount,workload,execution,start,end,duration,rpi3_01,rpi3_02,rpi3_03,rpi3_04,rpi3_05,rpi3_06,rpi3_07,rpi3_08,rpi3_09,rpi3_10,rpi3_11,rpi3_12,rpi3_13,rpi3_14,rpi3_15
28,hbase,1,1000000,a,29,10-09-21 23:06:18,10-09-21 23:09:17,179.0,3842.438,0.0,1755.429,0.0,0.0,0.0,0.0,0.0,131208.533,0.0,5695.39,6787.724,0.0,36356.876,0.0
29,hbase,1,1000000,a,30,10-09-21 23:19:51,10-09-21 23:23:33,222.0,2569.68,26744.471,0.0,21122.51,0.0,0.0,32.125,0.0,10055.278,0.0,32558.95,3887.04,108568.094,28511.373,0.0
30,hbase,1,1000000,b,1,10-09-21 16:01:16,10-09-21 16:04:52,216.0,245.76,2932.736,0.0,0.0,0.0,0.0,0.0,0.0,5128.192,0.0,0.0,3030.981,983.04,0.0,1179.648
31,hbase,1,1000000,b,2,10-09-21 16:14:46,10-09-21 16:17:37,171.0,899.122,899.182,0.0,0.0,0.0,0.0,0.0,299.707,3836.254,0.0,0.0,2337.777,1298.624,0.0,1558.478
32,hbase,1,1000000,b,3,10-09-21 16:27:10,10-09-21 16:31:34,264.0,0.0,1083.052,0.0,0.0,0.0,0.0,0.0,0.0,6317.559,0.0,0.0,722.007,1360.705,0.0,1582.861
33,hbase,1,1000000,b,4,10-09-21 16:41:40,10-09-21 16:45:09,209.0,0.0,24695.75,0.0,0.0,64989.867,0.0,0.0,0.0,36198.4,0.0,13841.067,9130.714,0.0,0.0,13977.6
34,hbase,1,1000000,b,5,10-09-21 16:56:43,10-09-21 17:00:28,225.0,37525.662,36454.4,0.0,0.0,40676.431,0.0,34500.923,0.0,18888.862,0.0,51845.908,0.0,0.0,0.0,49073.231
35,hbase,1,1000000,b,6,10-09-21 17:10:30,10-09-21 17:15:07,277.0,36176.929,34155.233,0.0,0.0,44382.142,0.0,36877.279,0.0,15313.755,0.0,51421.87,383.174,0.0,0.0,44065.032
36,hbase,1,1000000,b,7,10-09-21 17:26:39,10-09-21 17:35:50,551.0,15809.391,10586.505,0.0,0.0,14087.439,0.0,8808.15,0.0,5489.34,0.0,13219.177,0.0,0.0,0.0,18988.636
37,hbase,1,1000000,b,8,10-09-21 17:49:09,10-09-21 17:53:26,257.0,4336.11,2033.876,0.0,0.0,5988.634,0.0,1892.634,0.0,1949.131,0.0,3771.145,0.0,0.0,0.0,5649.655
38,hbase,1,1000000,b,9,10-09-21 18:04:04,10-09-21 18:07:01,177.0,526.629,526.629,0.0,0.0,1833.448,0.0,819.2,0.0,1150.781,0.0,1345.829,0.0,0.0,0.0,3120.762
39,hbase,1,1000000,b,10,10-09-21 18:16:45,10-09-21 18:20:17,212.0,1203.722,969.665,0.0,0.0,919.51,0.0,501.551,0.0,66.873,0.0,1604.963,0.0,0.0,0.0,2256.98
40,hbase,1,1000000,b,11,10-09-21 18:29:59,10-09-21 18:33:28,209.0,1109.333,0.0,0.0,0.0,2662.4,0.0,409.6,0.0,699.733,0.0,2730.667,0.0,0.0,0.0,1501.867
41,hbase,1,1000000,b,12,10-09-21 18:43:54,10-09-21 18:47:40,226.0,44992.985,4159.025,3339.815,0.0,12855.138,0.0,236.308,15.754,488.369,0.0,1654.154,0.0,0.0,0.0,7278.277
42,hbase,1,1000000,b,13,10-09-21 18:57:18,10-09-21 19:00:40,202.0,96229.855,94853.324,23565.072,172833.77,2736.477,0.0,51940.766,44899.171,19137.906,0.0,21490.928,29177.314,14048.405,0.0,57309.14
43,hbase,1,1000000,b,14,10-09-21 19:11:02,10-09-21 19:14:51,229.0,27017.846,34831.946,0.0,0.0,1764.431,0.0,0.0,35257.051,5293.292,0.0,6443.323,7593.458,17880.814,0.0,17738.831
44,hbase,1,1000000,b,15,10-09-21 19:26:49,10-09-21 19:30:28,219.0,19480.576,24936.605,0.0,0.0,1294.336,0.0,0.0,13664.24,2752.807,0.0,7274.496,4489.124,3211.264,0.0,8601.6
45,hbase,1,1000000,b,16,10-09-21 19:49:24,10-09-21 20:02:51,807.0,2574.629,5193.17,0.0,0.0,151.162,0.0,0.0,4256.87,1092.057,0.0,2155.276,984.976,3042.74,0.0,1955.352
46,hbase,1,1000000,b,17,10-09-21 20:13:27,10-09-21 20:16:55,208.0,1450.667,4300.841,0.0,0.0,460.8,0.0,0.0,1672.574,716.8,0.0,512.0,0.0,1672.523,0.0,785.067
47,hbase,1,1000000,b,18,10-09-21 20:27:58,10-09-21 20:32:10,252.0,0.0,1537.796,0.0,0.0,0.0,0.0,0.0,1034.736,431.158,0.0,546.133,761.712,1350.875,0.0,1221.614
48,hbase,1,1000000,b,19,10-09-21 20:42:56,10-09-21 20:46:52,236.0,394.43,1046.756,0.0,0.0,0.0,0.0,0.0,333.748,0.0,0.0,0.0,0.0,0.0,0.0,910.222
49,hbase,1,1000000,b,20,10-09-21 20:57:34,10-09-21 21:01:07,213.0,3126.335,0.0,0.0,0.0,91951.02,0.0,0.0,2022.922,0.0,0.0,1571.527,27100.109,1772.147,158690.743,0.0
50,hbase,1,1000000,b,21,10-09-21 21:11:10,10-09-21 21:14:41,211.0,0.0,0.0,39940.18,0.0,16.718,0.0,3561.012,16.718,0.0,0.0,48800.914,46677.742,140920.203,0.0,4814.89
51,hbase,1,1000000,b,22,10-09-21 21:25:04,10-09-21 21:28:45,221.0,0.0,0.0,34454.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25539.508,25732.493,0.0,0.0,1574.149
52,hbase,1,1000000,b,23,10-09-21 21:38:45,10-09-21 21:42:20,215.0,0.0,0.0,16334.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15843.328,11599.97,0.0,0.0,1523.712
