/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-16 18:50:30:650 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-16 18:50:40:595 10 sec: 84 operations; 8.4 current ops/sec; est completion in 19 minutes [READ: Count=45, Max=284927, Min=47712, Avg=92776.53, 90=137215, 99=284927, 99.9=284927, 99.99=284927] [UPDATE: Count=39, Max=270591, Min=51840, Avg=132961.64, 90=210687, 99=270591, 99.9=270591, 99.99=270591] 
2021-09-16 18:50:50:594 20 sec: 192 operations; 10.8 current ops/sec; est completion in 17 minutes [READ: Count=51, Max=106623, Min=46752, Avg=73137.88, 90=89215, 99=102079, 99.9=106623, 99.99=106623] [UPDATE: Count=57, Max=173311, Min=52064, Avg=109002.11, 90=151167, 99=166271, 99.9=173311, 99.99=173311] 
2021-09-16 18:51:00:594 30 sec: 293 operations; 10.1 current ops/sec; est completion in 16 minutes [READ: Count=59, Max=1437695, Min=46592, Avg=96710.78, 90=89919, 99=128063, 99.9=1437695, 99.99=1437695] [UPDATE: Count=42, Max=156287, Min=50144, Avg=101706.29, 90=145151, 99=156287, 99.9=156287, 99.99=156287] 
2021-09-16 18:51:10:594 40 sec: 399 operations; 10.6 current ops/sec; est completion in 16 minutes [READ: Count=61, Max=119103, Min=47104, Avg=78183.34, 90=99647, 99=117055, 99.9=119103, 99.99=119103] [UPDATE: Count=45, Max=246015, Min=50496, Avg=116371.56, 90=153343, 99=246015, 99.9=246015, 99.99=246015] 
2021-09-16 18:51:20:594 50 sec: 483 operations; 8.4 current ops/sec; est completion in 16 minutes [READ: Count=40, Max=114559, Min=47712, Avg=73916, 90=89791, 99=114559, 99.9=114559, 99.99=114559] [UPDATE: Count=44, Max=200191, Min=48832, Avg=107739.64, 90=146943, 99=200191, 99.9=200191, 99.99=200191] 
2021-09-16 18:51:30:594 60 sec: 483 operations; 0 current ops/sec; est completion in 19 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 18:51:40:594 70 sec: 535 operations; 5.2 current ops/sec; est completion in 20 minutes [READ: Count=22, Max=116543, Min=48448, Avg=71526.55, 90=88511, 99=116543, 99.9=116543, 99.99=116543] [UPDATE: Count=30, Max=13688831, Min=63072, Avg=559944, 90=158079, 99=13688831, 99.9=13688831, 99.99=13688831] 
2021-09-16 18:51:50:594 80 sec: 570 operations; 3.5 current ops/sec; est completion in 22 minutes [READ: Count=11, Max=101183, Min=48128, Avg=75457.45, 90=88639, 99=101183, 99.9=101183, 99.99=101183] [UPDATE: Count=24, Max=8536063, Min=76608, Avg=453762.67, 90=161279, 99=8536063, 99.9=8536063, 99.99=8536063] 
2021-09-16 18:52:00:594 90 sec: 602 operations; 3.2 current ops/sec; est completion in 23 minutes [READ: Count=18, Max=88575, Min=48224, Avg=76190.22, 90=88063, 99=88575, 99.9=88575, 99.99=88575] [UPDATE: Count=14, Max=4460543, Min=48928, Avg=414097.14, 90=213631, 99=4460543, 99.9=4460543, 99.99=4460543] 
2021-09-16 18:52:10:594 100 sec: 640 operations; 3.8 current ops/sec; est completion in 24 minutes [READ: Count=17, Max=99071, Min=48256, Avg=76662.59, 90=89343, 99=99071, 99.9=99071, 99.99=99071] [UPDATE: Count=21, Max=6246399, Min=61024, Avg=648578.29, 90=161535, 99=6246399, 99.9=6246399, 99.99=6246399] 
2021-09-16 18:52:20:594 110 sec: 742 operations; 10.2 current ops/sec; est completion in 22 minutes [READ: Count=59, Max=129407, Min=47232, Avg=75564.75, 90=97663, 99=106559, 99.9=129407, 99.99=129407] [UPDATE: Count=43, Max=1610751, Min=47968, Avg=128687.63, 90=133119, 99=1610751, 99.9=1610751, 99.99=1610751] 
