/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-17 13:26:08:548 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-17 13:26:18:491 10 sec: 65 operations; 6.5 current ops/sec; est completion in 25 minutes [READ: Count=30, Max=266495, Min=48576, Avg=94157.33, 90=191999, 99=266495, 99.9=266495, 99.99=266495] [UPDATE: Count=35, Max=1635327, Min=56608, Avg=186174.63, 90=231935, 99=1635327, 99.9=1635327, 99.99=1635327] 
2021-09-17 13:26:28:491 20 sec: 102 operations; 3.7 current ops/sec; est completion in 32 minutes [READ: Count=16, Max=112191, Min=49824, Avg=72537, 90=92415, 99=112191, 99.9=112191, 99.99=112191] [UPDATE: Count=21, Max=6455295, Min=56832, Avg=422397.71, 90=159487, 99=6455295, 99.9=6455295, 99.99=6455295] 
2021-09-17 13:26:38:491 30 sec: 168 operations; 6.6 current ops/sec; est completion in 29 minutes [READ: Count=36, Max=118207, Min=50016, Avg=77710.67, 90=93759, 99=118207, 99.9=118207, 99.99=118207] [UPDATE: Count=30, Max=3436543, Min=65984, Avg=229894.4, 90=180863, 99=3436543, 99.9=3436543, 99.99=3436543] 
2021-09-17 13:26:48:491 40 sec: 191 operations; 2.3 current ops/sec; est completion in 34 minutes [READ: Count=10, Max=96831, Min=53440, Avg=82609.6, 90=91583, 99=96831, 99.9=96831, 99.99=96831] [UPDATE: Count=13, Max=7925759, Min=50880, Avg=721296, 90=165247, 99=7925759, 99.9=7925759, 99.99=7925759] 
2021-09-17 13:26:58:491 50 sec: 284 operations; 9.3 current ops/sec; est completion in 28 minutes [READ: Count=51, Max=132095, Min=48608, Avg=75437.8, 90=97791, 99=104063, 99.9=132095, 99.99=132095] [UPDATE: Count=42, Max=190847, Min=79744, Avg=118230.86, 90=158847, 99=190847, 99.9=190847, 99.99=190847] 
2021-09-17 13:27:08:491 60 sec: 355 operations; 7.1 current ops/sec; est completion in 27 minutes [READ: Count=41, Max=147199, Min=48224, Avg=82759.41, 90=102271, 99=147199, 99.9=147199, 99.99=147199] [UPDATE: Count=30, Max=2142207, Min=52032, Avg=238448, 90=200575, 99=2142207, 99.9=2142207, 99.99=2142207] 
2021-09-17 13:27:18:491 70 sec: 412 operations; 5.7 current ops/sec; est completion in 27 minutes [READ: Count=34, Max=148991, Min=49088, Avg=77714.82, 90=97407, 99=148991, 99.9=148991, 99.99=148991] [UPDATE: Count=23, Max=1565695, Min=52352, Avg=180945.39, 90=191487, 99=1565695, 99.9=1565695, 99.99=1565695] 
2021-09-17 13:27:28:491 80 sec: 419 operations; 0.7 current ops/sec; est completion in 30 minutes [READ: Count=2, Max=51647, Min=50048, Avg=50848, 90=51647, 99=51647, 99.9=51647, 99.99=51647] [UPDATE: Count=5, Max=8183807, Min=95424, Avg=1728377.6, 90=8183807, 99=8183807, 99.9=8183807, 99.99=8183807] 
2021-09-17 13:27:38:491 90 sec: 459 operations; 4 current ops/sec; est completion in 31 minutes [READ: Count=18, Max=152063, Min=50048, Avg=79698.67, 90=92159, 99=152063, 99.9=152063, 99.99=152063] [UPDATE: Count=22, Max=7229439, Min=74496, Avg=620709.82, 90=186239, 99=7229439, 99.9=7229439, 99.99=7229439] 
2021-09-17 13:27:48:491 100 sec: 501 operations; 4.2 current ops/sec; est completion in 31 minutes [READ: Count=26, Max=145407, Min=49920, Avg=76925.54, 90=90303, 99=145407, 99.9=145407, 99.99=145407] [UPDATE: Count=16, Max=4984831, Min=52640, Avg=410885, 90=135679, 99=4984831, 99.9=4984831, 99.99=4984831] 
2021-09-17 13:27:58:491 110 sec: 526 operations; 2.5 current ops/sec; est completion in 33 minutes [READ: Count=12, Max=94143, Min=50624, Avg=72358.67, 90=90815, 99=94143, 99.9=94143, 99.99=94143] [UPDATE: Count=13, Max=9060351, Min=85824, Avg=814365.54, 90=177535, 99=9060351, 99.9=9060351, 99.99=9060351] 
