2021-09-19 02:49:37:278 130 sec: 529 operations; 0.2 current ops/sec; est completion in 38 minutes [READ: Count=1, Max=91135, Min=91072, Avg=91104, 90=91135, 99=91135, 99.9=91135, 99.99=91135] [UPDATE: Count=1, Max=7294975, Min=7290880, Avg=7292928, 90=7294975, 99=7294975, 99.9=7294975, 99.99=7294975] 
2021-09-19 02:49:47:278 140 sec: 529 operations; 0 current ops/sec; est completion in 41 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 02:49:57:278 150 sec: 610 operations; 8.1 current ops/sec; est completion in 38 minutes [READ: Count=42, Max=191615, Min=48768, Avg=80517.71, 90=95487, 99=191615, 99.9=191615, 99.99=191615] [UPDATE: Count=39, Max=16375807, Min=84352, Avg=566054.56, 90=196607, 99=16375807, 99.9=16375807, 99.99=16375807] 
2021-09-19 02:50:07:278 160 sec: 651 operations; 4.1 current ops/sec; est completion in 38 minutes [READ: Count=22, Max=178815, Min=49280, Avg=87505.45, 90=115839, 99=178815, 99.9=178815, 99.99=178815] [UPDATE: Count=19, Max=3033087, Min=75008, Avg=305338.95, 90=203263, 99=3033087, 99.9=3033087, 99.99=3033087] 
2021-09-19 02:50:17:278 170 sec: 722 operations; 7.1 current ops/sec; est completion in 36 minutes [READ: Count=26, Max=201983, Min=48640, Avg=97303.38, 90=184703, 99=201983, 99.9=201983, 99.99=201983] [UPDATE: Count=45, Max=3467263, Min=83520, Avg=217180.44, 90=202239, 99=3467263, 99.9=3467263, 99.99=3467263] 
2021-09-19 02:50:27:278 180 sec: 778 operations; 5.6 current ops/sec; est completion in 35 minutes [READ: Count=32, Max=168831, Min=49504, Avg=88907.5, 90=119743, 99=168831, 99.9=168831, 99.99=168831] [UPDATE: Count=24, Max=2701311, Min=49952, Avg=297067.33, 90=344319, 99=2701311, 99.9=2701311, 99.99=2701311] 
2021-09-19 02:50:37:278 190 sec: 802 operations; 2.4 current ops/sec; est completion in 36 minutes [READ: Count=8, Max=164607, Min=48192, Avg=84880, 90=111871, 99=164607, 99.9=164607, 99.99=164607] [UPDATE: Count=16, Max=196223, Min=77824, Avg=144032, 90=189183, 99=196223, 99.9=196223, 99.99=196223] 
2021-09-19 02:50:47:278 200 sec: 846 operations; 4.4 current ops/sec; est completion in 36 minutes [READ: Count=16, Max=138367, Min=46944, Avg=79395, 90=94399, 99=138367, 99.9=138367, 99.99=138367] [UPDATE: Count=28, Max=11886591, Min=76288, Avg=561678.86, 90=197759, 99=11886591, 99.9=11886591, 99.99=11886591] 
2021-09-19 02:50:57:278 210 sec: 903 operations; 5.7 current ops/sec; est completion in 35 minutes [READ: Count=28, Max=166527, Min=47360, Avg=82619.43, 90=111679, 99=166527, 99.9=166527, 99.99=166527] [UPDATE: Count=29, Max=4149247, Min=82496, Avg=266606.34, 90=189055, 99=4149247, 99.9=4149247, 99.99=4149247] 
2021-09-19 02:51:07:278 220 sec: 972 operations; 6.9 current ops/sec; est completion in 34 minutes [READ: Count=32, Max=190591, Min=49120, Avg=93176, 90=164863, 99=190591, 99.9=190591, 99.99=190591] [UPDATE: Count=37, Max=208383, Min=81920, Avg=142206.27, 90=200191, 99=208383, 99.9=208383, 99.99=208383] 
2021-09-19 02:51:17:278 230 sec: 1018 operations; 4.6 current ops/sec; est completion in 33 minutes [READ: Count=21, Max=138751, Min=47040, Avg=81512.38, 90=107519, 99=138751, 99.9=138751, 99.99=138751] [UPDATE: Count=25, Max=6877183, Min=72576, Avg=399608.32, 90=198015, 99=6877183, 99.9=6877183, 99.99=6877183] 
2021-09-19 02:51:27:278 240 sec: 1078 operations; 6 current ops/sec; est completion in 33 minutes [READ: Count=27, Max=195455, Min=48800, Avg=99802.67, 90=176895, 99=195455, 99.9=195455, 99.99=195455] [UPDATE: Count=33, Max=210687, Min=83648, Avg=147106.91, 90=194303, 99=210687, 99.9=210687, 99.99=210687] 
2021-09-19 02:51:37:278 250 sec: 1115 operations; 3.7 current ops/sec; est completion in 33 minutes [READ: Count=17, Max=118783, Min=48192, Avg=77012.71, 90=92479, 99=118783, 99.9=118783, 99.99=118783] [UPDATE: Count=20, Max=6868991, Min=90304, Avg=477683.2, 90=198783, 99=6868991, 99.9=6868991, 99.99=6868991] 
2021-09-19 02:51:47:278 260 sec: 1127 operations; 1.2 current ops/sec; est completion in 34 minutes [READ: Count=4, Max=103615, Min=50016, Avg=69784, 90=103615, 99=103615, 99.9=103615, 99.99=103615] [UPDATE: Count=8, Max=6008831, Min=89280, Avg=874648, 90=209791, 99=6008831, 99.9=6008831, 99.99=6008831] 
2021-09-19 02:51:57:278 270 sec: 1138 operations; 1.1 current ops/sec; est completion in 35 minutes [READ: Count=5, Max=162431, Min=48512, Avg=93808, 90=162431, 99=162431, 99.9=162431, 99.99=162431] [UPDATE: Count=6, Max=13131775, Min=85824, Avg=2296314.67, 90=192383, 99=13131775, 99.9=13131775, 99.99=13131775] 
2021-09-19 02:52:07:278 280 sec: 1152 operations; 1.4 current ops/sec; est completion in 35 minutes [READ: Count=7, Max=157183, Min=47808, Avg=83152, 90=92735, 99=157183, 99.9=157183, 99.99=157183] [UPDATE: Count=7, Max=198911, Min=123008, Avg=159986.29, 90=189695, 99=198911, 99.9=198911, 99.99=198911] 
2021-09-19 02:52:17:279 290 sec: 1165 operations; 1.3 current ops/sec; est completion in 36 minutes [READ: Count=3, Max=192127, Min=51552, Avg=102005.33, 90=192127, 99=192127, 99.9=192127, 99.99=192127] [UPDATE: Count=10, Max=16080895, Min=68352, Avg=1727740.8, 90=212351, 99=16080895, 99.9=16080895, 99.99=16080895] 
