/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-16 12:26:33:308 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-16 12:26:43:256 10 sec: 86 operations; 8.6 current ops/sec; est completion in 19 minutes [READ: Count=41, Max=358911, Min=46272, Avg=91945.37, 90=127999, 99=358911, 99.9=358911, 99.99=358911] [UPDATE: Count=46, Max=328191, Min=53664, Avg=122629.22, 90=203007, 99=328191, 99.9=328191, 99.99=328191] 
2021-09-16 12:26:53:256 20 sec: 147 operations; 6.1 current ops/sec; est completion in 22 minutes [READ: Count=32, Max=137983, Min=47168, Avg=76583.5, 90=91327, 99=137983, 99.9=137983, 99.99=137983] [UPDATE: Count=28, Max=4247551, Min=68288, Avg=266910.86, 90=151807, 99=4247551, 99.9=4247551, 99.99=4247551] 
2021-09-16 12:27:03:256 30 sec: 251 operations; 10.4 current ops/sec; est completion in 19 minutes [READ: Count=59, Max=107391, Min=46688, Avg=72485.69, 90=90751, 99=96959, 99.9=107391, 99.99=107391] [UPDATE: Count=45, Max=1117183, Min=47872, Avg=126704.36, 90=158207, 99=1117183, 99.9=1117183, 99.99=1117183] 
2021-09-16 12:27:13:256 40 sec: 320 operations; 6.9 current ops/sec; est completion in 20 minutes [READ: Count=37, Max=131071, Min=47328, Avg=71888.43, 90=87615, 99=131071, 99.9=131071, 99.99=131071] [UPDATE: Count=32, Max=4501503, Min=47648, Avg=229603.5, 90=134271, 99=4501503, 99.9=4501503, 99.99=4501503] 
2021-09-16 12:27:23:256 50 sec: 363 operations; 4.3 current ops/sec; est completion in 22 minutes [READ: Count=18, Max=87999, Min=47808, Avg=63844.44, 90=82303, 99=87999, 99.9=87999, 99.99=87999] [UPDATE: Count=26, Max=6582271, Min=47744, Avg=340445.54, 90=141311, 99=6582271, 99.9=6582271, 99.99=6582271] 
2021-09-16 12:27:33:256 60 sec: 380 operations; 1.7 current ops/sec; est completion in 25 minutes [READ: Count=8, Max=92095, Min=48352, Avg=72366, 90=86271, 99=92095, 99.9=92095, 99.99=92095] [UPDATE: Count=8, Max=123711, Min=84608, Avg=95872, 90=122879, 99=123711, 99.9=123711, 99.99=123711] 
2021-09-16 12:27:43:256 70 sec: 413 operations; 3.3 current ops/sec; est completion in 27 minutes [READ: Count=15, Max=9814015, Min=47968, Avg=722219.73, 90=152447, 99=9814015, 99.9=9814015, 99.99=9814015] [UPDATE: Count=18, Max=2416639, Min=52000, Avg=277039.11, 90=199423, 99=2416639, 99.9=2416639, 99.99=2416639] 
2021-09-16 12:27:53:256 80 sec: 486 operations; 7.3 current ops/sec; est completion in 26 minutes [READ: Count=41, Max=120191, Min=47616, Avg=68399.22, 90=87359, 99=120191, 99.9=120191, 99.99=120191] [UPDATE: Count=32, Max=4108287, Min=52352, Avg=301963.5, 90=190719, 99=4108287, 99.9=4108287, 99.99=4108287] 
2021-09-16 12:28:03:256 90 sec: 497 operations; 1.1 current ops/sec; est completion in 28 minutes [READ: Count=7, Max=87423, Min=46240, Avg=70164.57, 90=85695, 99=87423, 99.9=87423, 99.99=87423] [UPDATE: Count=4, Max=9428991, Min=98816, Avg=2441080, 90=9428991, 99=9428991, 99.9=9428991, 99.99=9428991] 
2021-09-16 12:28:13:256 100 sec: 557 operations; 6 current ops/sec; est completion in 28 minutes [READ: Count=30, Max=107647, Min=47840, Avg=75997.33, 90=87359, 99=107647, 99.9=107647, 99.99=107647] [UPDATE: Count=30, Max=196223, Min=50656, Avg=102241.07, 90=137855, 99=196223, 99.9=196223, 99.99=196223] 
2021-09-16 12:28:23:256 110 sec: 619 operations; 6.2 current ops/sec; est completion in 27 minutes [READ: Count=38, Max=136447, Min=47616, Avg=76207.16, 90=92479, 99=136447, 99.9=136447, 99.99=136447] [UPDATE: Count=24, Max=7065599, Min=47360, Avg=492129.33, 90=168959, 99=7065599, 99.9=7065599, 99.99=7065599] 
