/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-19 23:24:56:167 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-19 23:25:06:112 10 sec: 65 operations; 6.5 current ops/sec; est completion in 25 minutes [READ: Count=32, Max=359423, Min=50272, Avg=115395, 90=195583, 99=359423, 99.9=359423, 99.99=359423] [UPDATE: Count=34, Max=386815, Min=87872, Avg=168658.82, 90=225151, 99=386815, 99.9=386815, 99.99=386815] 
2021-09-19 23:25:16:111 20 sec: 130 operations; 6.5 current ops/sec; est completion in 25 minutes [READ: Count=32, Max=211967, Min=51520, Avg=98007.5, 90=149247, 99=211967, 99.9=211967, 99.99=211967] [UPDATE: Count=32, Max=226175, Min=90496, Avg=159218, 90=216447, 99=226175, 99.9=226175, 99.99=226175] 
2021-09-19 23:25:26:111 30 sec: 130 operations; 0 current ops/sec; est completion in 37 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 23:25:36:111 40 sec: 130 operations; 0 current ops/sec; est completion in 50 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 23:25:46:111 50 sec: 149 operations; 1.9 current ops/sec; est completion in 55 minutes [READ: Count=10, Max=25870335, Min=51008, Avg=2694086.4, 90=200319, 99=25870335, 99.9=25870335, 99.99=25870335] [UPDATE: Count=9, Max=208255, Min=96576, Avg=151939.56, 90=178047, 99=208255, 99.9=208255, 99.99=208255] 
2021-09-19 23:25:56:111 60 sec: 189 operations; 4 current ops/sec; est completion in 51 minutes [READ: Count=17, Max=189311, Min=48576, Avg=90730.35, 90=93503, 99=189311, 99.9=189311, 99.99=189311] [UPDATE: Count=23, Max=8151039, Min=112704, Avg=507654.96, 90=210431, 99=8151039, 99.9=8151039, 99.99=8151039] 
2021-09-19 23:26:06:111 70 sec: 255 operations; 6.6 current ops/sec; est completion in 44 minutes [READ: Count=36, Max=147327, Min=50016, Avg=84167.56, 90=99263, 99=147327, 99.9=147327, 99.99=147327] [UPDATE: Count=30, Max=2250751, Min=91904, Avg=234140.8, 90=210559, 99=2250751, 99.9=2250751, 99.99=2250751] 
2021-09-19 23:26:16:111 80 sec: 308 operations; 5.3 current ops/sec; est completion in 41 minutes [READ: Count=23, Max=191487, Min=48384, Avg=91417.04, 90=114175, 99=191487, 99.9=191487, 99.99=191487] [UPDATE: Count=30, Max=2570239, Min=88768, Avg=265492.27, 90=215807, 99=2570239, 99.9=2570239, 99.99=2570239] 
2021-09-19 23:26:26:111 90 sec: 322 operations; 1.4 current ops/sec; est completion in 45 minutes [READ: Count=8, Max=93055, Min=50368, Avg=81926, 90=92991, 99=93055, 99.9=93055, 99.99=93055] [UPDATE: Count=6, Max=238975, Min=121920, Avg=191621.33, 90=208767, 99=238975, 99.9=238975, 99.99=238975] 
2021-09-19 23:26:36:111 100 sec: 334 operations; 1.2 current ops/sec; est completion in 48 minutes [READ: Count=7, Max=12795903, Min=51136, Avg=1894980.57, 90=101375, 99=12795903, 99.9=12795903, 99.99=12795903] [UPDATE: Count=5, Max=168575, Min=81856, Avg=148064, 90=168575, 99=168575, 99.9=168575, 99.99=168575] 
2021-09-19 23:26:46:111 110 sec: 409 operations; 7.5 current ops/sec; est completion in 43 minutes [READ: Count=39, Max=163455, Min=49760, Avg=82841.03, 90=97343, 99=163455, 99.9=163455, 99.99=163455] [UPDATE: Count=36, Max=5513215, Min=67904, Avg=303201.78, 90=212223, 99=5513215, 99.9=5513215, 99.99=5513215] 
