/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-18 13:23:54:196 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-18 13:24:04:139 10 sec: 64 operations; 6.4 current ops/sec; est completion in 25 minutes [READ: Count=32, Max=266239, Min=46496, Avg=106978, 90=192767, 99=266239, 99.9=266239, 99.99=266239] [UPDATE: Count=32, Max=444159, Min=87488, Avg=162449, 90=202495, 99=444159, 99.9=444159, 99.99=444159] 
2021-09-18 13:24:14:138 20 sec: 75 operations; 1.1 current ops/sec; est completion in 44 minutes [READ: Count=9, Max=202367, Min=48384, Avg=118519.11, 90=193791, 99=202367, 99.9=202367, 99.99=202367] [UPDATE: Count=2, Max=7143423, Min=91968, Avg=3616688, 90=7143423, 99=7143423, 99.9=7143423, 99.99=7143423] 
2021-09-18 13:24:24:138 30 sec: 128 operations; 5.3 current ops/sec; est completion in 38 minutes [READ: Count=28, Max=179455, Min=47968, Avg=89997.71, 90=111551, 99=179455, 99.9=179455, 99.99=179455] [UPDATE: Count=25, Max=2822143, Min=81408, Avg=263959.04, 90=207487, 99=2822143, 99.9=2822143, 99.99=2822143] 
2021-09-18 13:24:34:138 40 sec: 206 operations; 7.8 current ops/sec; est completion in 31 minutes [READ: Count=38, Max=169343, Min=48032, Avg=83432.42, 90=99007, 99=169343, 99.9=169343, 99.99=169343] [UPDATE: Count=40, Max=4702207, Min=50720, Avg=251064.8, 90=202623, 99=4702207, 99.9=4702207, 99.99=4702207] 
2021-09-18 13:24:44:138 50 sec: 254 operations; 4.8 current ops/sec; est completion in 31 minutes [READ: Count=20, Max=177151, Min=45920, Avg=83492.8, 90=138879, 99=177151, 99.9=177151, 99.99=177151] [UPDATE: Count=28, Max=4882431, Min=71616, Avg=298681.14, 90=194431, 99=4882431, 99.9=4882431, 99.99=4882431] 
2021-09-18 13:24:54:138 60 sec: 271 operations; 1.7 current ops/sec; est completion in 35 minutes [READ: Count=8, Max=156671, Min=47424, Avg=76574, 90=88511, 99=156671, 99.9=156671, 99.99=156671] [UPDATE: Count=9, Max=197503, Min=109248, Avg=158378.67, 90=194047, 99=197503, 99.9=197503, 99.99=197503] 
2021-09-18 13:25:04:138 70 sec: 326 operations; 5.5 current ops/sec; est completion in 34 minutes [READ: Count=29, Max=197247, Min=48224, Avg=78084.41, 90=114367, 99=197247, 99.9=197247, 99.99=197247] [UPDATE: Count=26, Max=11689983, Min=49216, Avg=602351.38, 90=192511, 99=11689983, 99.9=11689983, 99.99=11689983] 
2021-09-18 13:25:14:138 80 sec: 388 operations; 6.2 current ops/sec; est completion in 33 minutes [READ: Count=35, Max=197759, Min=45728, Avg=81406.63, 90=103423, 99=197759, 99.9=197759, 99.99=197759] [UPDATE: Count=27, Max=201087, Min=84544, Avg=124837.93, 90=165247, 99=201087, 99.9=201087, 99.99=201087] 
2021-09-18 13:25:24:138 90 sec: 401 operations; 1.3 current ops/sec; est completion in 35 minutes [READ: Count=6, Max=154111, Min=48320, Avg=84501.33, 90=88447, 99=154111, 99.9=154111, 99.99=154111] [UPDATE: Count=7, Max=11902975, Min=86528, Avg=1828233.14, 90=198783, 99=11902975, 99.9=11902975, 99.99=11902975] 
2021-09-18 13:25:34:138 100 sec: 458 operations; 5.7 current ops/sec; est completion in 34 minutes [READ: Count=22, Max=169599, Min=48192, Avg=80116.36, 90=99583, 99=169599, 99.9=169599, 99.99=169599] [UPDATE: Count=35, Max=3276799, Min=65312, Avg=248469.49, 90=193663, 99=3276799, 99.9=3276799, 99.99=3276799] 
2021-09-18 13:25:44:138 110 sec: 516 operations; 5.8 current ops/sec; est completion in 33 minutes [READ: Count=29, Max=164607, Min=46496, Avg=87127.72, 90=118527, 99=164607, 99.9=164607, 99.99=164607] [UPDATE: Count=29, Max=209407, Min=85312, Avg=151959.17, 90=198527, 99=209407, 99.9=209407, 99.99=209407] 
