/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-19 13:32:11:415 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-19 13:32:21:357 10 sec: 64 operations; 6.4 current ops/sec; est completion in 25 minutes [READ: Count=36, Max=282879, Min=50368, Avg=108298.67, 90=189695, 99=282879, 99.9=282879, 99.99=282879] [UPDATE: Count=28, Max=364543, Min=91776, Avg=193494.86, 90=252799, 99=364543, 99.9=364543, 99.99=364543] 
2021-09-19 13:32:31:357 20 sec: 140 operations; 7.6 current ops/sec; est completion in 23 minutes [READ: Count=35, Max=192127, Min=50144, Avg=94513.83, 90=135679, 99=192127, 99.9=192127, 99.99=192127] [UPDATE: Count=41, Max=236927, Min=84224, Avg=164787.51, 90=208767, 99=236927, 99.9=236927, 99.99=236927] 
2021-09-19 13:32:41:357 30 sec: 232 operations; 9.2 current ops/sec; est completion in 21 minutes [READ: Count=44, Max=189311, Min=48544, Avg=78601.09, 90=93503, 99=189311, 99.9=189311, 99.99=189311] [UPDATE: Count=48, Max=216447, Min=69184, Avg=135922.67, 90=190463, 99=216447, 99.9=216447, 99.99=216447] 
2021-09-19 13:32:51:357 40 sec: 295 operations; 6.3 current ops/sec; est completion in 21 minutes [READ: Count=32, Max=173823, Min=48800, Avg=83678.5, 90=117439, 99=173823, 99.9=173823, 99.99=173823] [UPDATE: Count=31, Max=209919, Min=56192, Avg=147513.29, 90=202495, 99=209919, 99.9=209919, 99.99=209919] 
2021-09-19 13:33:01:357 50 sec: 335 operations; 4 current ops/sec; est completion in 24 minutes [READ: Count=19, Max=190975, Min=49600, Avg=81287.58, 90=97599, 99=190975, 99.9=190975, 99.99=190975] [UPDATE: Count=21, Max=5029887, Min=82496, Avg=528406.86, 90=209791, 99=5029887, 99.9=5029887, 99.99=5029887] 
2021-09-19 13:33:11:357 60 sec: 378 operations; 4.3 current ops/sec; est completion in 25 minutes [READ: Count=20, Max=168831, Min=49728, Avg=80568.8, 90=96319, 99=168831, 99.9=168831, 99.99=168831] [UPDATE: Count=23, Max=2576383, Min=91904, Avg=265611.13, 90=203391, 99=2576383, 99.9=2576383, 99.99=2576383] 
2021-09-19 13:33:21:357 70 sec: 378 operations; 0 current ops/sec; est completion in 29 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 13:33:31:357 80 sec: 378 operations; 0 current ops/sec; est completion in 33 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-19 13:33:41:357 90 sec: 410 operations; 3.2 current ops/sec; est completion in 35 minutes [READ: Count=9, Max=28196863, Min=50368, Avg=3202545.78, 90=92159, 99=28196863, 99.9=28196863, 99.99=28196863] [UPDATE: Count=23, Max=220031, Min=55552, Avg=151693.22, 90=204671, 99=220031, 99.9=220031, 99.99=220031] 
2021-09-19 13:33:51:357 100 sec: 489 operations; 7.9 current ops/sec; est completion in 32 minutes [READ: Count=42, Max=193023, Min=48192, Avg=92451.05, 90=166399, 99=193023, 99.9=193023, 99.99=193023] [UPDATE: Count=37, Max=279295, Min=88256, Avg=163691.24, 90=204543, 99=279295, 99.9=279295, 99.99=279295] 
2021-09-19 13:34:01:357 110 sec: 522 operations; 3.3 current ops/sec; est completion in 33 minutes [READ: Count=19, Max=167551, Min=47808, Avg=81887.16, 90=94463, 99=167551, 99.9=167551, 99.99=167551] [UPDATE: Count=14, Max=5808127, Min=135808, Avg=579661.71, 90=215039, 99=5808127, 99.9=5808127, 99.99=5808127] 
