/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-17 08:57:57:194 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-17 08:58:07:141 10 sec: 68 operations; 6.8 current ops/sec; est completion in 24 minutes [READ: Count=32, Max=283391, Min=49984, Avg=99026.5, 90=190335, 99=283391, 99.9=283391, 99.99=283391] [UPDATE: Count=36, Max=363775, Min=52992, Avg=138640.44, 90=206079, 99=363775, 99.9=363775, 99.99=363775] 
2021-09-17 08:58:17:140 20 sec: 138 operations; 7 current ops/sec; est completion in 23 minutes [READ: Count=29, Max=122175, Min=48512, Avg=70109.24, 90=93119, 99=122175, 99.9=122175, 99.99=122175] [UPDATE: Count=41, Max=3147775, Min=52000, Avg=191429.85, 90=169855, 99=3147775, 99.9=3147775, 99.99=3147775] 
2021-09-17 08:58:27:140 30 sec: 208 operations; 7 current ops/sec; est completion in 23 minutes [READ: Count=39, Max=128127, Min=48000, Avg=77030.15, 90=91007, 99=128127, 99.9=128127, 99.99=128127] [UPDATE: Count=31, Max=2476031, Min=52288, Avg=264637.94, 90=175743, 99=2476031, 99.9=2476031, 99.99=2476031] 
2021-09-17 08:58:37:140 40 sec: 260 operations; 5.2 current ops/sec; est completion in 24 minutes [READ: Count=20, Max=5001215, Min=49696, Avg=326417.6, 90=105471, 99=5001215, 99.9=5001215, 99.99=5001215] [UPDATE: Count=32, Max=158847, Min=51936, Avg=109532.5, 90=152575, 99=158847, 99.9=158847, 99.99=158847] 
2021-09-17 08:58:47:140 50 sec: 345 operations; 8.5 current ops/sec; est completion in 23 minutes [READ: Count=38, Max=99519, Min=48064, Avg=75476.21, 90=91071, 99=99519, 99.9=99519, 99.99=99519] [UPDATE: Count=47, Max=1843199, Min=57088, Avg=152012.26, 90=174079, 99=1843199, 99.9=1843199, 99.99=1843199] 
2021-09-17 08:58:57:140 60 sec: 423 operations; 7.8 current ops/sec; est completion in 22 minutes [READ: Count=39, Max=105151, Min=49440, Avg=75395.28, 90=92287, 99=105151, 99.9=105151, 99.99=105151] [UPDATE: Count=39, Max=2695167, Min=49408, Avg=179351.79, 90=162047, 99=2695167, 99.9=2695167, 99.99=2695167] 
2021-09-17 08:59:07:140 70 sec: 454 operations; 3.1 current ops/sec; est completion in 24 minutes [READ: Count=16, Max=89855, Min=49120, Avg=64797, 90=89471, 99=89855, 99.9=89855, 99.99=89855] [UPDATE: Count=15, Max=161023, Min=50528, Avg=116492.8, 90=160895, 99=161023, 99.9=161023, 99.99=161023] 
2021-09-17 08:59:17:140 80 sec: 482 operations; 2.8 current ops/sec; est completion in 26 minutes [READ: Count=17, Max=146815, Min=49088, Avg=79517.18, 90=89599, 99=146815, 99.9=146815, 99.99=146815] [UPDATE: Count=11, Max=14704639, Min=49888, Avg=1445677.09, 90=206719, 99=14704639, 99.9=14704639, 99.99=14704639] 
2021-09-17 08:59:27:140 90 sec: 525 operations; 4.3 current ops/sec; est completion in 27 minutes [READ: Count=28, Max=102655, Min=49536, Avg=75203.43, 90=90815, 99=102655, 99.9=102655, 99.99=102655] [UPDATE: Count=15, Max=210815, Min=72512, Avg=120631.47, 90=171135, 99=210815, 99.9=210815, 99.99=210815] 
2021-09-17 08:59:37:140 100 sec: 620 operations; 9.5 current ops/sec; est completion in 25 minutes [READ: Count=38, Max=6737919, Min=49344, Avg=254317.47, 90=102207, 99=6737919, 99.9=6737919, 99.99=6737919] [UPDATE: Count=57, Max=206847, Min=50688, Avg=111877.05, 90=159615, 99=177791, 99.9=206847, 99.99=206847] 
2021-09-17 08:59:47:140 110 sec: 711 operations; 9.1 current ops/sec; est completion in 23 minutes [READ: Count=42, Max=112127, Min=49600, Avg=74250.67, 90=92991, 99=112127, 99.9=112127, 99.99=112127] [UPDATE: Count=49, Max=1247231, Min=51968, Avg=140130.61, 90=161919, 99=1247231, 99.9=1247231, 99.99=1247231] 
2021-09-17 08:59:57:140 120 sec: 751 operations; 4 current ops/sec; est completion in 24 minutes [READ: Count=19, Max=148991, Min=47488, Avg=75024, 90=90303, 99=148991, 99.9=148991, 99.99=148991] [UPDATE: Count=21, Max=6512639, Min=49280, Avg=410511.24, 90=155007, 99=6512639, 99.9=6512639, 99.99=6512639] 
2021-09-17 09:00:07:140 130 sec: 772 operations; 2.1 current ops/sec; est completion in 25 minutes [READ: Count=10, Max=93823, Min=49472, Avg=68472, 90=89727, 99=93823, 99.9=93823, 99.99=93823] [UPDATE: Count=11, Max=5464063, Min=60224, Avg=597389.09, 90=221695, 99=5464063, 99.9=5464063, 99.99=5464063] 
2021-09-17 09:00:17:140 140 sec: 843 operations; 7.1 current ops/sec; est completion in 25 minutes [READ: Count=37, Max=3379199, Min=49376, Avg=162591.14, 90=93631, 99=3379199, 99.9=3379199, 99.99=3379199] [UPDATE: Count=34, Max=3026943, Min=54848, Avg=197972.24, 90=173695, 99=3026943, 99.9=3026943, 99.99=3026943] 
2021-09-17 09:00:27:140 150 sec: 946 operations; 10.3 current ops/sec; est completion in 23 minutes [READ: Count=51, Max=141695, Min=49728, Avg=78353.25, 90=97151, 99=140799, 99.9=141695, 99.99=141695] [UPDATE: Count=52, Max=219775, Min=49856, Avg=113870.77, 90=162687, 99=178047, 99.9=219775, 99.99=219775] 
2021-09-17 09:00:37:140 160 sec: 1021 operations; 7.5 current ops/sec; est completion in 23 minutes [READ: Count=37, Max=119743, Min=48224, Avg=71921.73, 90=91071, 99=119743, 99.9=119743, 99.99=119743] [UPDATE: Count=38, Max=179583, Min=50656, Avg=107760.84, 90=155135, 99=179583, 99.9=179583, 99.99=179583] 
2021-09-17 09:00:47:140 170 sec: 1119 operations; 9.8 current ops/sec; est completion in 22 minutes [READ: Count=47, Max=116095, Min=48928, Avg=70850.04, 90=92415, 99=116095, 99.9=116095, 99.99=116095] [UPDATE: Count=51, Max=3866623, Min=51424, Avg=195448.78, 90=176383, 99=211967, 99.9=3866623, 99.99=3866623] 
2021-09-17 09:00:57:140 180 sec: 1191 operations; 7.2 current ops/sec; est completion in 22 minutes [READ: Count=35, Max=134271, Min=49376, Avg=73616, 90=96063, 99=134271, 99.9=134271, 99.99=134271] [UPDATE: Count=37, Max=3309567, Min=64128, Avg=200709.62, 90=158207, 99=3309567, 99.9=3309567, 99.99=3309567] 
2021-09-17 09:01:07:140 190 sec: 1276 operations; 8.5 current ops/sec; est completion in 21 minutes [READ: Count=42, Max=824319, Min=47872, Avg=94864.38, 90=95551, 99=824319, 99.9=824319, 99.99=824319] [UPDATE: Count=43, Max=210175, Min=50752, Avg=107356.28, 90=141567, 99=210175, 99.9=210175, 99.99=210175] 
