2021-09-14 23:48:41:437 190 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 12 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:48:51:437 200 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 16 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:49:01:437 210 sec: 48999 operations; 700 current ops/sec; est completion in 1 hour 7 minutes [INSERT: Count=7000, Max=34045951, Min=5, Avg=4868.75, 90=11, 99=24, 99.9=49, 99.99=68] 
2021-09-14 23:49:11:437 220 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 11 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:49:21:437 230 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 14 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:49:31:437 240 sec: 55999 operations; 700 current ops/sec; est completion in 1 hour 7 minutes [INSERT: Count=7000, Max=33980415, Min=5, Avg=4862.51, 90=9, 99=20, 99.9=37, 99.99=10695] 
2021-09-14 23:49:41:437 250 sec: 55999 operations; 0 current ops/sec; est completion in 1 hour 10 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:49:51:437 260 sec: 55999 operations; 0 current ops/sec; est completion in 1 hour 13 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:50:01:437 270 sec: 55999 operations; 0 current ops/sec; est completion in 1 hour 15 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-14 23:50:11:437 280 sec: 62999 operations; 700 current ops/sec; est completion in 1 hour 9 minutes [INSERT: Count=7000, Max=31588351, Min=5, Avg=4518.55, 90=7, 99=23, 99.9=37, 99.99=6763] 
