/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-17 07:51:51:834 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-17 07:52:01:780 10 sec: 81 operations; 8.1 current ops/sec; est completion in 20 minutes [READ: Count=43, Max=265215, Min=48864, Avg=95198.51, 90=188159, 99=265215, 99.9=265215, 99.99=265215] [UPDATE: Count=38, Max=270847, Min=68608, Avg=138384.84, 90=203903, 99=270847, 99.9=270847, 99.99=270847] 
2021-09-17 07:52:11:779 20 sec: 135 operations; 5.4 current ops/sec; est completion in 24 minutes [READ: Count=25, Max=110719, Min=48480, Avg=72583.04, 90=91199, 99=110719, 99.9=110719, 99.99=110719] [UPDATE: Count=30, Max=4751359, Min=55680, Avg=272886.93, 90=169215, 99=4751359, 99.9=4751359, 99.99=4751359] 
2021-09-17 07:52:21:779 30 sec: 205 operations; 7 current ops/sec; est completion in 23 minutes [READ: Count=31, Max=105791, Min=49088, Avg=75809.03, 90=92991, 99=105791, 99.9=105791, 99.99=105791] [UPDATE: Count=38, Max=3106815, Min=51040, Avg=198602.53, 90=172415, 99=3106815, 99.9=3106815, 99.99=3106815] 
2021-09-17 07:52:31:779 40 sec: 304 operations; 9.9 current ops/sec; est completion in 21 minutes [READ: Count=54, Max=128575, Min=47840, Avg=76764.15, 90=94143, 99=115071, 99.9=128575, 99.99=128575] [UPDATE: Count=45, Max=207359, Min=60992, Avg=116423.82, 90=168703, 99=207359, 99.9=207359, 99.99=207359] 
2021-09-17 07:52:41:779 50 sec: 350 operations; 4.6 current ops/sec; est completion in 22 minutes [READ: Count=24, Max=2508799, Min=48576, Avg=167934.67, 90=102655, 99=2508799, 99.9=2508799, 99.99=2508799] [UPDATE: Count=22, Max=4079615, Min=50560, Avg=301873.45, 90=190975, 99=4079615, 99.9=4079615, 99.99=4079615] 
2021-09-17 07:52:51:779 60 sec: 418 operations; 6.8 current ops/sec; est completion in 22 minutes [READ: Count=33, Max=100159, Min=49120, Avg=71664.97, 90=92479, 99=100159, 99.9=100159, 99.99=100159] [UPDATE: Count=35, Max=2605055, Min=50720, Avg=202567.31, 90=155647, 99=2605055, 99.9=2605055, 99.99=2605055] 
2021-09-17 07:53:01:779 70 sec: 455 operations; 3.7 current ops/sec; est completion in 24 minutes [READ: Count=17, Max=105919, Min=49632, Avg=75262.12, 90=91071, 99=105919, 99.9=105919, 99.99=105919] [UPDATE: Count=20, Max=7274495, Min=52736, Avg=460082.4, 90=135935, 99=7274495, 99.9=7274495, 99.99=7274495] 
2021-09-17 07:53:11:779 80 sec: 509 operations; 5.4 current ops/sec; est completion in 24 minutes [READ: Count=22, Max=103039, Min=50624, Avg=80669.09, 90=92927, 99=103039, 99.9=103039, 99.99=103039] [UPDATE: Count=32, Max=203903, Min=56864, Avg=126701.5, 90=187775, 99=203903, 99.9=203903, 99.99=203903] 
2021-09-17 07:53:21:779 90 sec: 582 operations; 7.3 current ops/sec; est completion in 24 minutes [READ: Count=33, Max=108287, Min=47456, Avg=72720.97, 90=90687, 99=108287, 99.9=108287, 99.99=108287] [UPDATE: Count=40, Max=4227071, Min=54080, Avg=294309.2, 90=162431, 99=4227071, 99.9=4227071, 99.99=4227071] 
2021-09-17 07:53:31:779 100 sec: 656 operations; 7.4 current ops/sec; est completion in 23 minutes [READ: Count=37, Max=96511, Min=48960, Avg=75673.08, 90=92415, 99=96511, 99.9=96511, 99.99=96511] [UPDATE: Count=38, Max=2977791, Min=50528, Avg=189825.26, 90=195583, 99=2977791, 99.9=2977791, 99.99=2977791] 
2021-09-17 07:53:41:779 110 sec: 693 operations; 3.7 current ops/sec; est completion in 24 minutes [READ: Count=18, Max=151551, Min=48192, Avg=76016.89, 90=92863, 99=151551, 99.9=151551, 99.99=151551] [UPDATE: Count=18, Max=2011135, Min=53248, Avg=224232, 90=159103, 99=2011135, 99.9=2011135, 99.99=2011135] 
