2021-09-16 06:10:06:855 190 sec: 34999 operations; 700 current ops/sec; est completion in 1 hour 27 minutes [INSERT: Count=7000, Max=39485439, Min=5, Avg=5643.64, 90=5, 99=10, 99.9=27, 99.99=70] 
2021-09-16 06:10:16:856 200 sec: 34999 operations; 0 current ops/sec; est completion in 1 hour 31 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:10:26:856 210 sec: 34999 operations; 0 current ops/sec; est completion in 1 hour 36 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:10:36:856 220 sec: 34999 operations; 0 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:10:46:856 230 sec: 34999 operations; 0 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:10:56:856 240 sec: 34999 operations; 0 current ops/sec; est completion in 1 hour 50 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:11:06:856 250 sec: 41999 operations; 700 current ops/sec; est completion in 1 hour 35 minutes [INSERT: Count=7000, Max=52166655, Min=5, Avg=7456.07, 90=5, 99=22, 99.9=37, 99.99=102] 
2021-09-16 06:11:16:856 260 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 38 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:11:26:856 270 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:11:36:856 280 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:11:46:856 290 sec: 41999 operations; 0 current ops/sec; est completion in 1 hour 50 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:11:56:856 300 sec: 48999 operations; 700 current ops/sec; est completion in 1 hour 37 minutes [INSERT: Count=7000, Max=56819711, Min=5, Avg=8120.56, 90=5, 99=22, 99.9=26, 99.99=63] 
2021-09-16 06:12:06:856 310 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:12:16:856 320 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-16 06:12:26:856 330 sec: 48999 operations; 0 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
