2021-09-18 10:54:01:268 130 sec: 649 operations; 3.3 current ops/sec; est completion in 31 minutes [READ: Count=16, Max=170111, Min=46976, Avg=82997, 90=123327, 99=170111, 99.9=170111, 99.99=170111] [UPDATE: Count=17, Max=16441343, Min=53728, Avg=1090007.53, 90=191231, 99=16441343, 99.9=16441343, 99.99=16441343] 
2021-09-18 10:54:11:268 140 sec: 711 operations; 6.2 current ops/sec; est completion in 30 minutes [READ: Count=30, Max=176639, Min=46240, Avg=81781.87, 90=122879, 99=176639, 99.9=176639, 99.99=176639] [UPDATE: Count=32, Max=194047, Min=47040, Avg=136985.5, 90=191999, 99=194047, 99.9=194047, 99.99=194047] 
2021-09-18 10:54:21:268 150 sec: 774 operations; 6.3 current ops/sec; est completion in 29 minutes [READ: Count=27, Max=159999, Min=47008, Avg=79136.59, 90=106943, 99=159999, 99.9=159999, 99.99=159999] [UPDATE: Count=36, Max=6688767, Min=77120, Avg=306375.11, 90=189183, 99=6688767, 99.9=6688767, 99.99=6688767] 
2021-09-18 10:54:31:268 160 sec: 863 operations; 8.9 current ops/sec; est completion in 28 minutes [READ: Count=46, Max=171647, Min=46240, Avg=83783.65, 90=149631, 99=171647, 99.9=171647, 99.99=171647] [UPDATE: Count=43, Max=196223, Min=69184, Avg=136640, 90=186239, 99=196223, 99.9=196223, 99.99=196223] 
2021-09-18 10:54:41:268 170 sec: 877 operations; 1.4 current ops/sec; est completion in 29 minutes [READ: Count=9, Max=96383, Min=45792, Avg=72577.78, 90=93759, 99=96383, 99.9=96383, 99.99=96383] [UPDATE: Count=5, Max=4247551, Min=88512, Avg=951110.4, 90=4247551, 99=4247551, 99.9=4247551, 99.99=4247551] 
2021-09-18 10:54:51:268 180 sec: 934 operations; 5.7 current ops/sec; est completion in 29 minutes [READ: Count=32, Max=171007, Min=45824, Avg=88766, 90=166143, 99=171007, 99.9=171007, 99.99=171007] [UPDATE: Count=25, Max=5234687, Min=94208, Avg=459512.32, 90=200447, 99=5234687, 99.9=5234687, 99.99=5234687] 
2021-09-18 10:55:01:268 190 sec: 984 operations; 5 current ops/sec; est completion in 29 minutes [READ: Count=22, Max=160639, Min=53888, Avg=98209.45, 90=145151, 99=160639, 99.9=160639, 99.99=160639] [UPDATE: Count=28, Max=4476927, Min=81536, Avg=299177.14, 90=190591, 99=4476927, 99.9=4476927, 99.99=4476927] 
2021-09-18 10:55:11:267 200 sec: 1054 operations; 7 current ops/sec; est completion in 28 minutes [READ: Count=34, Max=148735, Min=47424, Avg=79489.41, 90=133247, 99=148735, 99.9=148735, 99.99=148735] [UPDATE: Count=37, Max=2762751, Min=79104, Avg=198059.24, 90=191231, 99=2762751, 99.9=2762751, 99.99=2762751] 
2021-09-18 10:55:21:268 210 sec: 1125 operations; 7.1 current ops/sec; est completion in 27 minutes [READ: Count=40, Max=188287, Min=47360, Avg=81872, 90=135039, 99=188287, 99.9=188287, 99.99=188287] [UPDATE: Count=30, Max=2629631, Min=79616, Avg=222534.4, 90=190079, 99=2629631, 99.9=2629631, 99.99=2629631] 
2021-09-18 10:55:31:268 220 sec: 1158 operations; 3.3 current ops/sec; est completion in 28 minutes [READ: Count=17, Max=182143, Min=48512, Avg=86966.59, 90=98431, 99=182143, 99.9=182143, 99.99=182143] [UPDATE: Count=16, Max=181759, Min=82368, Avg=134630, 90=176767, 99=181759, 99.9=181759, 99.99=181759] 
2021-09-18 10:55:41:268 230 sec: 1220 operations; 6.2 current ops/sec; est completion in 27 minutes [READ: Count=30, Max=147199, Min=47616, Avg=74796.27, 90=95807, 99=147199, 99.9=147199, 99.99=147199] [UPDATE: Count=32, Max=7204863, Min=47616, Avg=441549, 90=185471, 99=7204863, 99.9=7204863, 99.99=7204863] 
2021-09-18 10:55:51:268 240 sec: 1293 operations; 7.3 current ops/sec; est completion in 26 minutes [READ: Count=33, Max=146175, Min=46336, Avg=76764.12, 90=86527, 99=146175, 99.9=146175, 99.99=146175] [UPDATE: Count=40, Max=2420735, Min=73984, Avg=183583.2, 90=179455, 99=2420735, 99.9=2420735, 99.99=2420735] 
2021-09-18 10:56:01:268 250 sec: 1363 operations; 7 current ops/sec; est completion in 26 minutes [READ: Count=30, Max=172031, Min=47328, Avg=85617.6, 90=128831, 99=172031, 99.9=172031, 99.99=172031] [UPDATE: Count=40, Max=194303, Min=81728, Avg=147317.6, 90=187647, 99=194303, 99.9=194303, 99.99=194303] 
2021-09-18 10:56:11:268 260 sec: 1363 operations; 0 current ops/sec; est completion in 27 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
