/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-17 05:39:11:484 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-17 05:39:21:428 10 sec: 71 operations; 7.1 current ops/sec; est completion in 23 minutes [READ: Count=40, Max=281343, Min=48064, Avg=92028, 90=116671, 99=281343, 99.9=281343, 99.99=281343] [UPDATE: Count=31, Max=278783, Min=61120, Avg=148994.58, 90=220799, 99=278783, 99.9=278783, 99.99=278783] 
2021-09-17 05:39:31:428 20 sec: 143 operations; 7.2 current ops/sec; est completion in 22 minutes [READ: Count=36, Max=147711, Min=49696, Avg=74795.56, 90=92159, 99=147711, 99.9=147711, 99.99=147711] [UPDATE: Count=36, Max=2148351, Min=56224, Avg=177794.22, 90=166783, 99=2148351, 99.9=2148351, 99.99=2148351] 
2021-09-17 05:39:41:428 30 sec: 232 operations; 8.9 current ops/sec; est completion in 21 minutes [READ: Count=42, Max=114495, Min=48928, Avg=78603.81, 90=96447, 99=114495, 99.9=114495, 99.99=114495] [UPDATE: Count=47, Max=3317759, Min=50720, Avg=182517.11, 90=162815, 99=3317759, 99.9=3317759, 99.99=3317759] 
2021-09-17 05:39:51:428 40 sec: 323 operations; 9.1 current ops/sec; est completion in 19 minutes [READ: Count=50, Max=99903, Min=49248, Avg=72239.36, 90=93695, 99=99903, 99.9=99903, 99.99=99903] [UPDATE: Count=41, Max=192383, Min=69312, Avg=114061.27, 90=161919, 99=192383, 99.9=192383, 99.99=192383] 
2021-09-17 05:40:01:428 50 sec: 323 operations; 0 current ops/sec; est completion in 24 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-17 05:40:11:428 60 sec: 366 operations; 4.3 current ops/sec; est completion in 26 minutes [READ: Count=22, Max=92223, Min=48192, Avg=67394.18, 90=89151, 99=92223, 99.9=92223, 99.99=92223] [UPDATE: Count=21, Max=12271615, Min=53760, Avg=697068.95, 90=166783, 99=12271615, 99.9=12271615, 99.99=12271615] 
2021-09-17 05:40:21:428 70 sec: 464 operations; 9.8 current ops/sec; est completion in 23 minutes [READ: Count=42, Max=6066175, Min=49344, Avg=217674.67, 90=92671, 99=6066175, 99.9=6066175, 99.99=6066175] [UPDATE: Count=56, Max=207359, Min=48448, Avg=113244, 90=162559, 99=196479, 99.9=207359, 99.99=207359] 
2021-09-17 05:40:31:428 80 sec: 513 operations; 4.9 current ops/sec; est completion in 24 minutes [READ: Count=22, Max=111807, Min=49088, Avg=77123.64, 90=90303, 99=111807, 99.9=111807, 99.99=111807] [UPDATE: Count=27, Max=184703, Min=50400, Avg=115052.44, 90=159871, 99=184703, 99.9=184703, 99.99=184703] 
2021-09-17 05:40:41:428 90 sec: 513 operations; 0 current ops/sec; est completion in 27 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
2021-09-17 05:40:51:428 100 sec: 612 operations; 9.9 current ops/sec; est completion in 25 minutes [READ: Count=42, Max=108671, Min=49504, Avg=74992, 90=91583, 99=108671, 99.9=108671, 99.99=108671] [UPDATE: Count=57, Max=15736831, Min=48384, Avg=387849.82, 90=161407, 99=206207, 99.9=15736831, 99.99=15736831] 
2021-09-17 05:41:01:428 110 sec: 668 operations; 5.6 current ops/sec; est completion in 25 minutes [READ: Count=28, Max=100159, Min=49824, Avg=74887.43, 90=93631, 99=100159, 99.9=100159, 99.99=100159] [UPDATE: Count=28, Max=2007039, Min=49120, Avg=177355.43, 90=154367, 99=2007039, 99.9=2007039, 99.99=2007039] 
