/usr/local/openjdk-11/bin/java -cp /opt/ycsb/slf4j-api-1.7.30.jar:/opt/ycsb/slf4j-simple-1.7.30.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.14.jar:/opt/ycsb/jdbc-binding/conf:/opt/ycsb/conf:/opt/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/opt/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/opt/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/opt/ycsb/lib/HdrHistogram-2.1.4.jar:/opt/ycsb/lib/jackson-core-asl-1.9.4.jar:/opt/ycsb/jdbc-binding/lib/commons-collections-3.2.1.jar:/opt/ycsb/jdbc-binding/lib/jdbc-binding-0.18.0-SNAPSHOT.jar:/opt/ycsb/jdbc-binding/lib/serp-1.13.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-lib-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jms_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/openjpa-kernel-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/geronimo-jta_1.1_spec-1.1.1.jar:/opt/ycsb/jdbc-binding/lib/commons-pool-1.5.4.jar:/opt/ycsb/jdbc-binding/lib/openjpa-jdbc-2.1.1.jar:/opt/ycsb/jdbc-binding/lib/postgresql-42.2.23.jar:/opt/ycsb/jdbc-binding/lib/commons-lang-2.4.jar site.ycsb.Client -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
Command line: -db site.ycsb.db.JdbcDBClient -s -P /opt/ycsb/workloads/workloada -P /opt/ycsb/jdbc-binding/conf/db.properties -p recordcount=1000000 -p operationcount=10000 -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Adding shard node URL: jdbc:postgresql://10.0.2.5:5432/ycsb
2021-09-18 21:35:28:017 0 sec: 0 operations; est completion in 0 second 
Using shards: 1, batchSize:7000, fetchSize: 3000
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2021-09-18 21:35:37:959 10 sec: 66 operations; 6.6 current ops/sec; est completion in 25 minutes [READ: Count=35, Max=196479, Min=49216, Avg=96325.03, 90=181503, 99=196479, 99.9=196479, 99.99=196479] [UPDATE: Count=32, Max=347647, Min=60352, Avg=188887.5, 90=264959, 99=347647, 99.9=347647, 99.99=347647] 
2021-09-18 21:35:47:959 20 sec: 115 operations; 4.9 current ops/sec; est completion in 28 minutes [READ: Count=19, Max=172287, Min=48544, Avg=82688, 90=89151, 99=172287, 99.9=172287, 99.99=172287] [UPDATE: Count=29, Max=2414591, Min=88448, Avg=269772.14, 90=196607, 99=2414591, 99.9=2414591, 99.99=2414591] 
2021-09-18 21:35:57:959 30 sec: 139 operations; 2.4 current ops/sec; est completion in 35 minutes [READ: Count=10, Max=5804031, Min=48608, Avg=649648, 90=91583, 99=5804031, 99.9=5804031, 99.99=5804031] [UPDATE: Count=14, Max=214271, Min=87936, Avg=150978.29, 90=195327, 99=214271, 99.9=214271, 99.99=214271] 
2021-09-18 21:36:07:959 40 sec: 176 operations; 3.7 current ops/sec; est completion in 37 minutes [READ: Count=15, Max=3866623, Min=48736, Avg=321530.67, 90=169983, 99=3866623, 99.9=3866623, 99.99=3866623] [UPDATE: Count=22, Max=4112383, Min=78720, Avg=318379.64, 90=200575, 99=4112383, 99.9=4112383, 99.99=4112383] 
2021-09-18 21:36:17:959 50 sec: 267 operations; 9.1 current ops/sec; est completion in 30 minutes [READ: Count=48, Max=190719, Min=48480, Avg=81154, 90=130367, 99=190719, 99.9=190719, 99.99=190719] [UPDATE: Count=43, Max=204543, Min=52416, Avg=140605.02, 90=199551, 99=204543, 99.9=204543, 99.99=204543] 
2021-09-18 21:36:27:959 60 sec: 279 operations; 1.2 current ops/sec; est completion in 34 minutes [READ: Count=6, Max=153983, Min=69120, Avg=90778.67, 90=88063, 99=153983, 99.9=153983, 99.99=153983] [UPDATE: Count=6, Max=8822783, Min=110272, Avg=1593488, 90=180095, 99=8822783, 99.9=8822783, 99.99=8822783] 
2021-09-18 21:36:37:959 70 sec: 308 operations; 2.9 current ops/sec; est completion in 36 minutes [READ: Count=12, Max=104191, Min=58528, Avg=86326.67, 90=94975, 99=104191, 99.9=104191, 99.99=104191] [UPDATE: Count=17, Max=6664191, Min=78784, Avg=522825.41, 90=191871, 99=6664191, 99.9=6664191, 99.99=6664191] 
2021-09-18 21:36:47:959 80 sec: 317 operations; 0.9 current ops/sec; est completion in 40 minutes [READ: Count=4, Max=147583, Min=78208, Avg=98504, 90=147583, 99=147583, 99.9=147583, 99.99=147583] [UPDATE: Count=5, Max=9060351, Min=88000, Avg=1919936, 90=9060351, 99=9060351, 99.9=9060351, 99.99=9060351] 
2021-09-18 21:36:57:959 90 sec: 407 operations; 9 current ops/sec; est completion in 35 minutes [READ: Count=37, Max=188415, Min=47264, Avg=84532.76, 90=145279, 99=188415, 99.9=188415, 99.99=188415] [UPDATE: Count=53, Max=201855, Min=49536, Avg=129984.3, 90=185727, 99=200575, 99.9=201855, 99.99=201855] 
2021-09-18 21:37:07:959 100 sec: 468 operations; 6.1 current ops/sec; est completion in 33 minutes [READ: Count=31, Max=189055, Min=48416, Avg=76043.87, 90=92671, 99=189055, 99.9=189055, 99.99=189055] [UPDATE: Count=30, Max=3377151, Min=64544, Avg=255043.73, 90=201599, 99=3377151, 99.9=3377151, 99.99=3377151] 
2021-09-18 21:37:17:959 110 sec: 555 operations; 8.7 current ops/sec; est completion in 31 minutes [READ: Count=47, Max=187775, Min=46624, Avg=81972.77, 90=90495, 99=187775, 99.9=187775, 99.99=187775] [UPDATE: Count=40, Max=1006079, Min=48416, Avg=152333.6, 90=180863, 99=1006079, 99.9=1006079, 99.99=1006079] 
2021-09-18 21:37:27:959 120 sec: 576 operations; 2.1 current ops/sec; est completion in 32 minutes [READ: Count=11, Max=144511, Min=47840, Avg=89544.73, 90=139135, 99=144511, 99.9=144511, 99.99=144511] [UPDATE: Count=10, Max=202239, Min=61216, Avg=139915.2, 90=180991, 99=202239, 99.9=202239, 99.99=202239] 
2021-09-18 21:37:37:959 130 sec: 603 operations; 2.7 current ops/sec; est completion in 33 minutes [READ: Count=15, Max=159487, Min=47328, Avg=80676.27, 90=89535, 99=159487, 99.9=159487, 99.99=159487] [UPDATE: Count=12, Max=10600447, Min=87808, Avg=1083906.67, 90=903679, 99=10600447, 99.9=10600447, 99.99=10600447] 
2021-09-18 21:37:47:959 140 sec: 645 operations; 4.2 current ops/sec; est completion in 33 minutes [READ: Count=17, Max=186495, Min=48128, Avg=102948.71, 90=175743, 99=186495, 99.9=186495, 99.99=186495] [UPDATE: Count=25, Max=4833279, Min=78144, Avg=329968.64, 90=204671, 99=4833279, 99.9=4833279, 99.99=4833279] 
2021-09-18 21:37:57:959 150 sec: 645 operations; 0 current ops/sec; est completion in 36 minutes [READ: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] [UPDATE: Count=0, Max=0, Min=9223372036854775807, Avg=NaN, 90=0, 99=0, 99.9=0, 99.99=0] 
